Date : 2024-05-11 00:09:41
Directory : c:\Studio_Projects\life_link\lib
Total : 114 files,  11555 codes, 372 comments, 881 blanks, all 12808 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        114 |     11,555 |        372 |        881 |     12,808 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        114 |     11,555 |        372 |        881 |     12,808 |
| . (Files)                                                                                                             |          2 |        108 |         15 |         11 |        134 |
| UI                                                                                                                    |         65 |      7,283 |        117 |        390 |      7,790 |
| UI\screens                                                                                                            |         54 |      6,555 |        116 |        351 |      7,022 |
| UI\screens\authentication                                                                                             |         11 |      1,217 |          7 |         67 |      1,291 |
| UI\screens\authentication\components                                                                                  |          2 |         70 |          0 |          5 |         75 |
| UI\screens\authentication\design_layers                                                                               |          2 |         40 |          0 |          6 |         46 |
| UI\screens\authentication\forgot_password_screen.dart                                                                 |          1 |        125 |          1 |          7 |        133 |
| UI\screens\authentication\login                                                                                       |          1 |        232 |          1 |         12 |        245 |
| UI\screens\authentication\registration                                                                                |          3 |        572 |          5 |         27 |        604 |
| UI\screens\authentication\user_type_selection_screen                                                                  |          2 |        178 |          0 |         10 |        188 |
| UI\screens\authentication\user_type_selection_screen (Files)                                                          |          1 |        116 |          0 |          6 |        122 |
| UI\screens\authentication\user_type_selection_screen\components                                                       |          1 |         62 |          0 |          4 |         66 |
| UI\screens\beds_screen                                                                                                |          3 |        447 |          0 |         23 |        470 |
| UI\screens\beds_screen (Files)                                                                                        |          1 |        215 |          0 |          8 |        223 |
| UI\screens\beds_screen\components                                                                                     |          2 |        232 |          0 |         15 |        247 |
| UI\screens\bottom_nav_bar                                                                                             |          1 |         89 |          0 |          6 |         95 |
| UI\screens\doctor_screen                                                                                              |          4 |        751 |          1 |         37 |        789 |
| UI\screens\doctor_screen (Files)                                                                                      |          2 |        445 |          1 |         25 |        471 |
| UI\screens\doctor_screen\components                                                                                   |          2 |        306 |          0 |         12 |        318 |
| UI\screens\drivers_screen                                                                                             |          5 |        897 |         31 |         49 |        977 |
| UI\screens\drivers_screen (Files)                                                                                     |          2 |        442 |         11 |         29 |        482 |
| UI\screens\drivers_screen\components                                                                                  |          3 |        455 |         20 |         20 |        495 |
| UI\screens\history_screen                                                                                             |          3 |        167 |          0 |         10 |        177 |
| UI\screens\history_screen (Files)                                                                                     |          1 |         73 |          0 |          4 |         77 |
| UI\screens\history_screen\component                                                                                   |          2 |         94 |          0 |          6 |        100 |
| UI\screens\home_screen                                                                                                |          3 |        498 |          5 |         25 |        528 |
| UI\screens\home_screen (Files)                                                                                        |          1 |        364 |          5 |         18 |        387 |
| UI\screens\home_screen\components                                                                                     |          2 |        134 |          0 |          7 |        141 |
| UI\screens\incoming_patients_screen                                                                                   |          2 |        156 |          0 |          5 |        161 |
| UI\screens\map_screen                                                                                                 |          1 |         92 |          3 |          7 |        102 |
| UI\screens\notification_screen                                                                                        |          1 |        101 |          0 |          3 |        104 |
| UI\screens\onboarding_screen                                                                                          |          3 |        138 |          2 |         12 |        152 |
| UI\screens\patient_screen                                                                                             |          4 |        259 |          0 |         14 |        273 |
| UI\screens\patient_screen (Files)                                                                                     |          1 |         68 |          0 |          4 |         72 |
| UI\screens\patient_screen\component                                                                                   |          3 |        191 |          0 |         10 |        201 |
| UI\screens\profile_screen                                                                                             |          3 |        406 |         25 |         23 |        454 |
| UI\screens\profile_screen (Files)                                                                                     |          1 |        323 |         24 |         15 |        362 |
| UI\screens\profile_screen\components                                                                                  |          2 |         83 |          1 |          8 |         92 |
| UI\screens\review_screen                                                                                              |          1 |         58 |          0 |          2 |         60 |
| UI\screens\ride_completetion_screen                                                                                   |          1 |        163 |          0 |          9 |        172 |
| UI\screens\ride_history                                                                                               |          3 |        322 |          0 |         18 |        340 |
| UI\screens\ride_history (Files)                                                                                       |          1 |         71 |          0 |          5 |         76 |
| UI\screens\ride_history\components                                                                                    |          2 |        251 |          0 |         13 |        264 |
| UI\screens\ride_in_progress_screen                                                                                    |          1 |        152 |          0 |          6 |        158 |
| UI\screens\ride_waiting_screen                                                                                        |          1 |        354 |          2 |         18 |        374 |
| UI\screens\rules_and_terms_screen                                                                                     |          1 |        104 |          0 |          3 |        107 |
| UI\screens\settings_screen                                                                                            |          1 |         87 |         40 |          5 |        132 |
| UI\screens\splash_screen                                                                                              |          1 |         97 |          0 |          9 |        106 |
| UI\widgets                                                                                                            |         11 |        728 |          1 |         39 |        768 |
| UI\widgets\alerts                                                                                                     |          1 |        100 |          0 |          4 |        104 |
| UI\widgets\buttons                                                                                                    |          1 |         34 |          1 |          3 |         38 |
| UI\widgets\cards                                                                                                      |          2 |         85 |          0 |          7 |         92 |
| UI\widgets\general_widgets                                                                                            |          3 |         98 |          0 |          7 |        105 |
| UI\widgets\image_pickers                                                                                              |          1 |        150 |          0 |          6 |        156 |
| UI\widgets\switchs                                                                                                    |          1 |         37 |          0 |          3 |         40 |
| UI\widgets\text_fields                                                                                                |          2 |        224 |          0 |          9 |        233 |
| config                                                                                                                |          1 |         33 |          0 |          6 |         39 |
| constants                                                                                                             |          2 |         74 |          0 |          3 |         77 |
